"","municipio","seccion","casilla","tipo_casilla","padron_electoral","listado_nominal","clasificacion","estrato"
"108","2. MEXICALI","02_0413","URBANA","B1",433,432,"indefinidos","2. MEXICALI URBANA indefinidos"
"109","2. MEXICALI","02_0413","URBANA","C1",432,432,"indefinidos","2. MEXICALI URBANA indefinidos"
"110","2. MEXICALI","02_0414","URBANA","B1",596,593,"panistas","2. MEXICALI URBANA panistas"
"111","2. MEXICALI","02_0414","URBANA","C1",595,593,"panistas","2. MEXICALI URBANA panistas"
"112","2. MEXICALI","02_0415","URBANA","B1",405,405,"panistas","2. MEXICALI URBANA panistas"
"113","2. MEXICALI","02_0415","URBANA","C1",405,405,"panistas","2. MEXICALI URBANA panistas"
"114","2. MEXICALI","02_0416","URBANA","B1",457,456,"indefinidos","2. MEXICALI URBANA indefinidos"
"115","2. MEXICALI","02_0416","URBANA","C1",457,455,"indefinidos","2. MEXICALI URBANA indefinidos"
"116","2. MEXICALI","02_0417","URBANA","B1",595,593,"indefinidos","2. MEXICALI URBANA indefinidos"
"117","2. MEXICALI","02_0417","URBANA","C1",595,593,"indefinidos","2. MEXICALI URBANA indefinidos"
"118","2. MEXICALI","02_0418","URBANA","B1",738,735,"indefinidos","2. MEXICALI URBANA indefinidos"
"119","2. MEXICALI","02_0418","URBANA","C1",737,735,"indefinidos","2. MEXICALI URBANA indefinidos"
"120","2. MEXICALI","02_0419","URBANA","B1",425,424,"panistas","2. MEXICALI URBANA panistas"
"121","2. MEXICALI","02_0419","URBANA","C1",424,423,"panistas","2. MEXICALI URBANA panistas"
"122","2. MEXICALI","02_0420","URBANA","B1",430,427,"indefinidos","2. MEXICALI URBANA indefinidos"
"123","2. MEXICALI","02_0420","URBANA","C1",429,426,"indefinidos","2. MEXICALI URBANA indefinidos"
"124","2. MEXICALI","02_0421","URBANA","B1",409,409,"indefinidos","2. MEXICALI URBANA indefinidos"
"125","2. MEXICALI","02_0421","URBANA","C1",409,409,"indefinidos","2. MEXICALI URBANA indefinidos"
"126","2. MEXICALI","02_0422","URBANA","B1",384,383,"panistas","2. MEXICALI URBANA panistas"
"127","2. MEXICALI","02_0422","URBANA","C1",384,382,"panistas","2. MEXICALI URBANA panistas"
"128","2. MEXICALI","02_0423","URBANA","B1",519,519,"panistas","2. MEXICALI URBANA panistas"
"129","2. MEXICALI","02_0423","URBANA","C1",519,519,"panistas","2. MEXICALI URBANA panistas"
"130","2. MEXICALI","02_0424","URBANA","B1",622,622,"panistas","2. MEXICALI URBANA panistas"
"131","2. MEXICALI","02_0424","URBANA","C1",622,621,"panistas","2. MEXICALI URBANA panistas"
"132","2. MEXICALI","02_0425","URBANA","B1",554,554,"panistas","2. MEXICALI URBANA panistas"
"133","2. MEXICALI","02_0425","URBANA","C1",554,553,"panistas","2. MEXICALI URBANA panistas"
"134","2. MEXICALI","02_0426","URBANA","B1",496,495,"indefinidos","2. MEXICALI URBANA indefinidos"
"135","2. MEXICALI","02_0426","URBANA","C1",496,495,"indefinidos","2. MEXICALI URBANA indefinidos"
"136","2. MEXICALI","02_0427","URBANA","B1",474,474,"indefinidos","2. MEXICALI URBANA indefinidos"
"137","2. MEXICALI","02_0427","URBANA","C1",474,474,"indefinidos","2. MEXICALI URBANA indefinidos"
